nucleus, energy[keV], readout, event detection eff. =  helium 11 opt 0.12800000607967377
nucleus, energy[keV], readout, event detection eff. =  helium 13 opt 0.18299999833106995
nucleus, energy[keV], readout, event detection eff. =  helium 15 opt 0.2680000066757202
nucleus, energy[keV], readout, event detection eff. =  helium 17 opt 0.3100000023841858
nucleus, energy[keV], readout, event detection eff. =  helium 19 opt 0.4399999976158142
nucleus, energy[keV], readout, event detection eff. =  helium 21 opt 0.5180000066757202
nucleus, energy[keV], readout, event detection eff. =  helium 23 opt 0.5720000267028809
nucleus, energy[keV], readout, event detection eff. =  helium 25 opt 0.6650000214576721
nucleus, energy[keV], readout, event detection eff. =  helium 27 opt 0.7039999961853027
nucleus, energy[keV], readout, event detection eff. =  helium 29 opt 0.8109999895095825
nucleus, energy[keV], readout, event detection eff. =  helium 31 opt 0.8680000305175781
nucleus, energy[keV], readout, event detection eff. =  helium 33 opt 0.9140000343322754
nucleus, energy[keV], readout, event detection eff. =  helium 35 opt 0.9509999752044678
nucleus, energy[keV], readout, event detection eff. =  helium 37 opt 0.9630000591278076
nucleus, energy[keV], readout, event detection eff. =  helium 39 opt 0.9819999933242798
nucleus, energy[keV], readout, event detection eff. =  helium 41 opt 0.9930000305175781
nucleus, energy[keV], readout, event detection eff. =  helium 43 opt 0.9919999837875366
nucleus, energy[keV], readout, event detection eff. =  helium 45 opt 0.996999979019165
nucleus, energy[keV], readout, event detection eff. =  helium 47 opt 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  helium 49 opt 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 1 pix 0.4300000071525574
nucleus, energy[keV], readout, event detection eff. =  fluorine 3 pix 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  fluorine 5 pix 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  fluorine 7 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 9 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 11 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 13 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 15 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 17 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 19 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 21 pix 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 23 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 25 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 27 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 29 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 31 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 33 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 35 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 37 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 39 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 41 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 43 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 45 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 47 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 49 pix 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 1 pad 0.2279999852180481
nucleus, energy[keV], readout, event detection eff. =  fluorine 3 pad 0.9900000095367432
nucleus, energy[keV], readout, event detection eff. =  fluorine 5 pad 0.9959999918937683
nucleus, energy[keV], readout, event detection eff. =  fluorine 7 pad 0.9950000047683716
nucleus, energy[keV], readout, event detection eff. =  fluorine 9 pad 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  fluorine 11 pad 0.996999979019165
nucleus, energy[keV], readout, event detection eff. =  fluorine 13 pad 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 15 pad 0.9980000257492065
nucleus, energy[keV], readout, event detection eff. =  fluorine 17 pad 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 19 pad 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 21 pad 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 23 pad 0.996999979019165
nucleus, energy[keV], readout, event detection eff. =  fluorine 25 pad 0.9990000128746033
nucleus, energy[keV], readout, event detection eff. =  fluorine 27 pad 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 29 pad 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 31 pad 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 33 pad 1.0
nucleus, energy[keV], readout, event detection eff. =  fluorine 35 pad 0.9990000128746033
