nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 8 pad_after_threshold 56.50580556590469 0.4754754754754755
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 8 opt_after_threshold 58.20964146577692 0.5471698113207547
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 8 str_after_threshold 52.89663597029683 0.4894894894894895
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 8 pix_after_threshold 50.307601662376186 0.5195195195195195
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 8 3d_noquant_after_drift 43.33081845422151 0.521
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 8 3d_noquant_before_drift 24.637446789017403 0.799
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 9 gem_after_threshold 56.959539114974376 0.4984984984984985
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 9 wir_after_threshold 57.57575234847888 0.4964964964964965
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 9 pad_after_threshold 56.78540779633459 0.5255255255255256
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 9 opt_after_threshold 52.51211533638663 0.4470588235294118
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 9 str_after_threshold 48.496736900004784 0.498
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 9 pix_after_threshold 40.4736359164466 0.528
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 9 3d_noquant_after_drift 39.67222725194982 0.527
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 9 3d_noquant_before_drift 23.224857337508 0.775
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 10 gem_after_threshold 56.55485756398075 0.494
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 10 wir_after_threshold 55.93357688486781 0.52
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 10 pad_after_threshold 56.48543463839686 0.487
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 10 opt_after_threshold 59.074882119909844 0.5384615384615384
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 10 str_after_threshold 49.277625020019826 0.517
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 10 pix_after_threshold 40.388789971348935 0.548
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 10 3d_noquant_after_drift 39.50742126786941 0.539
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 10 3d_noquant_before_drift 27.400842927914397 0.9
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 11 gem_after_threshold 57.46941435211858 0.4934934934934935
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 11 wir_after_threshold 55.208571289218476 0.486
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 11 pad_after_threshold 54.575098440420405 0.505
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 11 opt_after_threshold 56.85421169200156 0.5581395348837209
